gbifid	x	y	plant	eventdate	day	month	year
232947241	37.056439	-3.494811	sage				
232947292	37.059413	-3.486395	sage				
232947543	37.06279	-3.899446	sage	2006-07-12T02:00Z	12	7	2006
218534494	37.0687529102	-3.9111554539	sage				
218534484	37.0687529102	-3.9111554539	sage				
218534539	37.0687551431	-3.6911513748	sage				
31966217	37.074	-3.917	sage	1979-05-16T01:00Z	16	5	1979
232948001	37.080131	-3.462957	sage				
232947553	37.086767	-3.911307	sage	2006-09-07T02:00Z	7	9	2006
232947342	37.088292	-3.508509	sage				
218534542	37.0887539595	-3.8411544738	sage				
218534483	37.0887539595	-3.8411544738	sage				
218534503	37.0887561914	-3.6211503898	sage				
218534499	37.0887561914	-3.6211503898	sage				
1143033331	37.0887573054	-3.5111483428	sage				
218534479	37.0887573054	-3.5111483428	sage				
218536289	37.0887585193	-3.3911461059	sage				
218536272	37.0887585193	-3.3911461059	sage				
218534518	37.0887585193	-3.3911461059	sage				
218534498	37.0887585193	-3.3911461059	sage				
218534497	37.0887585193	-3.3911461059	sage				
218534495	37.0887585193	-3.3911461059	sage				
218534491	37.0887585193	-3.3911461059	sage				
218534480	37.0887585193	-3.3911461059	sage				
1142799658	37.0887596307	-3.2811440521	sage				
218535519	37.0887596307	-3.2811440521	sage				
232947997	37.089083	-3.483006	sage				
232947650	37.095951	-4.029312	sage	2006-03-29T02:00Z	29	3	2006
232947346	37.100655	-3.460967	sage				
232947176	37.111327	-3.492445	sage				
232947239	37.115213	-3.444295	sage				
232947181	37.116169	-3.441599	sage				
232947300	37.11666	-3.520822	sage				
